"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Получение заказов пользователя с авторизацией","8477","Успешное получение заказов пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.GetUserOrdersTest","ru.yandex.praktikum.tests.GetUserOrdersTest","getUserOrdersWithAuthSuccess"
"Авторизация с некорректным паролем пользователя, проверка сообщения ошибки","8002","Безуспешная авторизация существующего пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.LoginUserTest","ru.yandex.praktikum.tests.LoginUserTest","loginWithWrongPasswordReturnsError"
"Создание пользователя с уникальными данными","2363","Успешное создание уникального пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.CreateUserTest","ru.yandex.praktikum.tests.CreateUserTest","createUniqueUserSuccess"
"Проверка изменения имени пользователя","4460","Изменение имени пользователя с авторизацией","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.UpdateUserTest","ru.yandex.praktikum.tests.UpdateUserTest","updateUserNameWithAuthSuccess"
"Получение данных пользователя с авторизацией","3327","Успешное получение данных пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.GetUserTest","ru.yandex.praktikum.tests.GetUserTest","getUserWithAuthSuccess"
"Создание пользователя без обязательных параметров, получение 400 HTTP кода","906","Безуспешное создание пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.CreateUserTest","ru.yandex.praktikum.tests.CreateUserTest","createUserWithoutRequiredFieldReturnsError"
"Авторизация существующего пользователя","3670","Успешная авторизация существующего пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.LoginUserTest","ru.yandex.praktikum.tests.LoginUserTest","loginWithExistingUserSuccess"
"Создание заказа с токеном авторизации","7305","Успешное оздание заказа","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.CreateOrderTest","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithAuthSuccess"
"Получение заказов пользователя без авторизации, получение 401 HTTP кода","8041","Безуспешное получение заказов пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.GetUserOrdersTest","ru.yandex.praktikum.tests.GetUserOrdersTest","getUserOrdersWithoutAuthReturnsError"
"Создание дубликата пользователя, получение 403 HTTP кода","3213","Безуспешное создание пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.CreateUserTest","ru.yandex.praktikum.tests.CreateUserTest","createDuplicateUserReturnsError"
"Получение данных пользователя без авторизации","3426","Безуспешное получение данных пользователя","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.GetUserTest","ru.yandex.praktikum.tests.GetUserTest","getUserWithoutAuthReturnsError"
"Создание заказа с некорректным ингредиентом","4420","Безуспешное создание заказа","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.CreateOrderTest","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithWrongIngredientReturnsError"
"Создание заказа без ингредиентов","4390","Безуспешное создание заказа","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.CreateOrderTest","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithoutIngredientsReturnsError"
"Проверка изменения email пользователя","4539","Успешное изменение email пользователя с авторизацией","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.UpdateUserTest","ru.yandex.praktikum.tests.UpdateUserTest","updateUserEmailWithAuthSuccess"
"Получение ингредиентов","937","Успешное получение ингредиентов","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.IngredientsTest","ru.yandex.praktikum.tests.IngredientsTest","getIngredientsSuccess"
"Изменение данных пользователя без авторизации возвращает ошибку","4341","Проверка изменения данных пользователя без авторизации","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.UpdateUserTest","ru.yandex.praktikum.tests.UpdateUserTest","updateUserWithoutAuthUnauthorized"
"Создание заказа без токена авторизации","4075","Безуспешное создание заказа","","2026-02-19","passed","2026-02-19","","ru.yandex.praktikum.tests.CreateOrderTest","ru.yandex.praktikum.tests.CreateOrderTest","createOrderWithoutAuthSuccess"
